Variable,r,p_value
Music Lessons,-0.1026185284940292,0.04099205593612213
Music Participation,0.06973597002952206,0.16550676862791538
Instrument at Home,-0.20319784563755322,4.5317492148174054e-05
Arts Tutoring,-0.12231541536037442,0.01474445196388453
Arts Community Groups,0.0818808305473912,0.10330114216743458
Arts Religious,0.12066992122043255,0.01614831397416496
