KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13
1,1.1,414,41,2,2,2815,3,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,414,42,2,2,2815,4,30,2,0,0,0,0,0,0,0,5,,,
1,1.2,419,39,1,2,1551,3,30,2,5,0,0,5,0,0,0,3,3,998,98
1,1.2,419,40,2,2,1551,4,30,2,5,0,0,5,0,0,0,2,3,0,0
1,1.1,419,41,2,2,743,2,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,419,42,1,2,2682,2,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,423,33,1,2,7078,3,30,2,0,0,0,0,0,0,0,3,,,
1,1.2,431,30,1,2,1717,2,30,2,1,2,0,1,1,0,0,1,3,998,4.5
1,1.1,436,43,2,2,3062,3,30,2,5,0,0,1,5,5,5,2,,,
1,1.1,436,44,2,2,3062,4,30,2,0,0,0,0,0,0,0,2,,,
1,1.1,436,45,1,2,2888,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,445,37,1,2,4036,3,30,2,0,0,0,0,0,0,0,3,,,
1,1.1,450,34,2,2,4108,2,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,452,41,2,2,568,3,30,2,5,0,0,5,0,5,0,5,3,0,0
1,1.2,452,42,2,2,796,3,30,2,1,6,0,1,1,5,5,2,3,0,0
1,1.1,452,43,1,2,796,4,30,2,1,5,5,5,0,0,0,4,,,
1,1.1,452,44,2,2,796,5,30,2,0,0,0,0,0,0,0,4,,,
1,1.1,455,35,2,2,7586,4,30,2,5,0,0,5,0,0,0,1,,,
1,1.1,455,38,2,2,7120,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,455,39,2,2,7120,4,30,2,0,0,0,0,0,0,0,0,,,
