KIDS,KID21,ER30001,ER30002,ER32000,ER32006,ER34901,ER34902,ER34903,P21REL,P21E5,P21E6,P21E10_09,P21E15,P21E16_3,P21E26_5,P21E33_6,P21E53A,C21REL,C21B12,C21B13,C21B31,C21B32,GPA_normalized
1,1.2,860,30,1,2,18,3,30,1,1,3,0,5,0,0,0,1,1.0,3.9,4.5,6.0,6.0,0.8666666666666667
1,1.2,863,38,2,2,4038,3,30,1,5,0,0,5,0,0,0,1,1.0,3.2,4.0,6.0,6.0,0.8
1,1.2,894,36,1,2,2215,3,30,1,1,1,0,5,0,0,0,1,1.0,4.0,5.3,7.0,7.0,0.7547169811320755
1,1.2,906,33,2,2,3173,3,30,1,1,2,0,5,0,5,5,1,1.0,3.8,5.0,7.0,7.0,0.76
1,1.2,961,42,1,2,4390,2,30,1,1,1,0,5,0,5,0,5,1.0,3.93,4.0,98.0,5.0,0.9825
1,1.2,1051,49,2,2,6341,3,30,1,1,1,5,5,0,0,0,1,1.0,4.2,4.5,7.0,7.0,0.9333333333333333
1,1.2,1051,50,2,2,6341,4,30,1,1,5,0,1,1,0,0,1,1.0,4.0,4.5,7.0,7.0,0.8888888888888888
1,1.2,1066,39,2,2,2367,3,33,1,1,1,5,5,0,0,0,1,1.0,2.8,4.0,5.0,6.0,0.7
1,1.2,1070,33,2,2,306,3,30,1,5,0,0,5,0,0,0,3,1.0,3.0,4.0,2.0,2.0,0.75
1,1.2,1080,31,2,2,705,3,30,1,1,3,0,1,1,5,0,1,1.0,3.2,5.0,3.0,3.0,0.64
1,1.2,1081,33,2,2,369,3,30,1,1,2,0,5,0,0,0,1,1.0,4.0,4.0,6.0,6.0,1.0
1,1.2,1088,43,2,2,7798,5,30,1,5,0,0,5,0,0,0,5,1.0,3.4,4.0,7.0,6.0,0.85
1,1.2,1089,33,2,2,7942,4,30,1,5,0,0,5,0,0,0,3,1.0,2.7,4.5,6.0,6.0,0.6000000000000001
1,1.2,1094,34,2,2,3745,4,30,1,5,0,0,5,0,0,0,1,1.0,4.0,4.0,6.0,6.0,1.0
1,1.2,1097,32,2,2,1156,3,30,1,5,0,0,5,0,5,0,1,1.0,3.4,4.0,6.0,6.0,0.85
1,1.2,1127,34,1,2,4347,2,30,1,5,0,5,5,0,0,5,1,1.0,3.0,4.0,6.0,6.0,0.75
1,1.2,1152,44,2,2,3924,3,30,1,1,2,5,1,5,1,0,1,1.0,3.5,4.0,6.0,6.0,0.875
1,1.2,1163,50,2,2,7965,3,30,1,1,1,0,5,0,0,5,1,1.0,4.12,5.0,6.0,6.0,0.8240000000000001
1,1.2,1163,51,2,2,7965,4,30,1,1,2,0,5,0,0,5,1,1.0,4.0,4.3,7.0,7.0,0.9302325581395349
1,1.2,1168,48,2,2,4751,3,30,1,1,2,0,5,0,0,0,2,1.0,8.6,9.0,6.0,6.0,0.9555555555555555
1,1.2,1168,54,2,2,4388,4,30,1,5,0,0,5,0,0,5,2,1.0,3.9,4.0,6.0,6.0,0.975
1,1.2,1200,179,2,3,1722,4,30,1,5,0,5,5,0,5,0,1,1.0,3.87,4.0,7.0,6.0,0.9675
1,1.2,1255,32,2,2,388,3,30,1,1,1,0,5,0,0,0,2,1.0,4.0,4.0,7.0,7.0,1.0
1,1.2,1255,33,2,2,388,4,30,1,1,1,0,5,0,0,0,2,1.0,4.2,4.5,7.0,7.0,0.9333333333333333
1,1.2,1255,35,2,2,388,5,30,1,1,5,0,5,0,0,0,1,1.0,4.0,4.5,7.0,7.0,0.8888888888888888
1,1.2,1284,36,2,2,3760,3,30,1,1,1,0,5,0,5,0,1,1.0,4.2,4.5,7.0,7.0,0.9333333333333333
1,1.2,1314,34,2,2,3152,4,30,1,1,6,0,1,1,0,0,1,1.0,2.9,4.0,7.0,6.0,0.725
1,1.2,1335,68,1,2,5061,2,30,1,1,2,0,1,1,0,5,1,1.0,4.14,4.5,6.0,6.0,0.9199999999999999
1,1.2,1335,78,1,2,3218,3,30,1,5,0,0,5,0,0,0,3,1.0,3.5,4.0,4.0,4.0,0.875
1,1.2,1345,39,1,2,3426,5,30,1,1,5,0,1,1,5,0,1,1.0,4.0,4.0,6.0,6.0,1.0
