KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13,GPA_normalized
1,1.2,620,40,1,2,3697,3,30,2.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,2.0,3.0,3.4,4.0,0.85
1,1.2,626,50,1,2,1325,3,33,2.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,3.0,3.5,4.0,0.875
1,1.2,626,210,2,3,1186,4,33,2.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.8,5.0,0.76
1,1.2,631,37,2,2,4475,2,30,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.6,4.0,0.65
1,1.2,709,43,2,2,4783,4,33,2.0,1.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,3.0,3.4,4.0,0.85
1,1.2,719,32,1,2,1338,3,60,2.0,1.0,1.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,4.75,6.0,0.7916666666666666
1,1.2,719,33,1,2,8822,3,30,2.0,1.0,1.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,4.0,5.0,0.8
1,1.2,722,36,1,2,203,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,2.7,4.0,0.675
1,1.2,722,37,1,2,641,2,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.36,4.0,0.84
1,1.2,727,31,1,2,5570,4,30,2.0,1.0,6.0,0.0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,4.5,0.6666666666666666
1,1.2,733,175,1,3,8444,4,30,2.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,4.0,3.0,2.7,4.6,0.5869565217391305
1,1.2,734,36,2,2,1319,3,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.5,5.2,0.673076923076923
1,1.2,734,38,1,2,1319,5,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.4,4.0,0.85
1,1.2,749,36,2,2,2900,3,35,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.4,4.0,0.85
1,1.2,751,41,1,2,4834,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.75
1,1.2,773,38,1,2,3381,3,30,2.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.8,4.0,0.95
1,1.2,783,33,2,2,1128,4,30,2.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.7,4.0,0.925
1,1.2,783,34,2,2,1676,3,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,3.45,4.0,0.8625
1,1.1,789,31,2,2,7138,3,30,,,,,,,,,,3.0,2.86,4.0,0.715
1,1.2,826,33,2,2,1608,3,33,2.0,5.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,3.0,2.87,4.0,0.7175
1,1.2,826,34,1,2,1608,4,33,2.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,1.0,3.0,3.0,4.0,0.75
1,1.2,835,32,2,2,7163,3,30,2.0,5.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,3.0,3.5,4.7,0.7446808510638298
1,1.2,840,48,2,2,2765,4,30,2.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,1.0
1,1.2,843,31,1,2,6788,3,30,2.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.3,4.0,0.825
1,1.2,845,172,2,3,8522,3,60,2.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.4,4.0,0.85
1,1.2,863,37,1,2,4216,4,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.57,4.0,0.8925
1,1.2,866,34,2,2,2629,3,30,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.8,4.0,0.7
1,1.2,876,32,1,2,4292,2,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,3.0,2.48,4.0,0.62
1,1.2,899,34,1,2,6450,3,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,2.9,4.0,0.725
1,1.2,904,30,2,2,602,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,2.8,4.0,0.7
1,1.2,921,31,1,2,2691,3,33,2.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,2.0,3.0,1.0,4.0,0.25
1,1.2,941,41,1,2,1170,5,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0
1,1.2,951,32,2,2,5362,3,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,2.0,3.0,3.9,4.7,0.8297872340425532
1,1.2,991,33,1,2,4395,3,30,2.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.2,4.0,0.8
1,1.2,998,35,2,2,2446,4,30,2.0,1.0,1.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,3.0,4.0,0.75
1,1.2,1030,32,2,2,4340,3,30,2.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,2.0,3.0,3.1,4.8,0.6458333333333334
1,1.2,1034,31,1,2,119,3,70,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,3.4,4.0,0.85
1,1.2,1038,34,2,2,6867,4,30,2.0,1.0,5.0,0.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0,4.0,1.0
1,1.2,1051,48,2,2,1885,4,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,3.3,4.0,0.825
1,1.2,1064,33,1,2,4570,3,30,2.0,1.0,1.0,5.0,5.0,0.0,5.0,5.0,1.0,3.0,4.1,4.5,0.911111111111111
1,1.2,1084,36,2,2,6752,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,2.7,4.0,0.675
1,1.2,1084,37,2,2,6752,5,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.4,4.0,0.85
1,1.2,1095,32,1,2,8291,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.1,3.4,0.911764705882353
1,1.2,1098,35,2,2,5451,4,30,2.0,1.0,6.0,0.0,1.0,1.0,0.0,5.0,2.0,3.0,4.0,4.0,1.0
1,1.2,1126,38,1,2,5326,3,30,2.0,1.0,2.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,4.2,4.2,1.0
1,1.2,1147,32,1,2,8885,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,1.8,4.0,0.45
1,1.2,1151,41,2,2,4818,4,30,2.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.5,5.0,0.7
1,1.2,1152,39,2,2,822,3,30,2.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,2.0,3.0,3.75,4.3,0.872093023255814
