KIDS,KID19,ER30001,ER30002,ER32000,ER32006,ER34701,ER34702,ER34703,P19REL,P19E5,P19E6,P19E10_09,P19E15,P19E16_3,P19E26_5,P19E33_6,P19E53A,C19REL,C19B12,C19B13,GPA_normalized
1,1.2,565,35,2,2,3971,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.6,4.0,0.9
1,1.2,595,32,1,2,217,2,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,3.8,5.0,0.76
1,1.2,641,33,1,2,437,3,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,2.0,4.0,4.0,1.0
1,1.2,641,34,2,2,437,4,30,1.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,1.0,2.0,4.0,4.0,1.0
1,1.1,677,38,1,2,1718,3,30,,,,,,,,,,2.0,3.34,4.0,0.835
1,1.1,677,40,2,2,1718,4,30,,,,,,,,,,2.0,3.8,4.0,0.95
1,1.2,749,39,2,2,483,5,30,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,4.1,4.5,0.911111111111111
1,1.2,751,42,2,2,4033,2,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.5
1,1.2,751,43,1,2,3983,5,30,1.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0
1,1.2,751,44,1,2,4222,2,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,2.67,5.0,0.534
1,1.2,775,32,2,2,8466,3,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.1,4.0,0.775
1,1.2,783,35,2,2,1473,3,30,1.0,1.0,2.0,5.0,5.0,0.0,5.0,0.0,1.0,2.0,3.5,4.0,0.875
1,1.2,783,36,2,2,1399,3,30,1.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,1.0,2.0,3.3,4.0,0.825
1,1.2,838,32,2,2,1052,3,30,1.0,1.0,1.0,5.0,5.0,0.0,5.0,5.0,1.0,2.0,3.8,4.0,0.95
1,1.2,840,50,1,2,8258,3,30,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0
1,1.2,845,32,1,2,1637,3,60,1.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,3.1,4.0,0.775
1,1.2,846,193,1,3,6947,3,30,1.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,3.2,4.0,0.8
1,1.2,860,30,1,2,2553,3,30,1.0,1.0,6.0,0.0,5.0,0.0,0.0,5.0,1.0,2.0,4.0,4.1,0.9756097560975611
1,1.2,878,32,1,2,2495,3,30,1.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,3.5,4.2,0.8333333333333333
1,1.2,894,35,1,2,1744,4,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.2,4.0,0.8
1,1.2,894,36,1,2,2241,3,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,2.0,2.0,4.0,5.0,0.8
1,1.2,897,36,1,2,56,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,2.5,4.0,0.625
1,1.2,939,36,2,2,2853,3,30,1.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,4.93,5.0,0.986
1,1.2,939,37,2,2,2853,4,30,1.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,3.4,4.0,0.85
1,1.2,951,33,2,2,249,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.7,4.0,0.925
1,1.2,1033,32,2,2,9032,2,30,1.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,2.0,2.0,3.5,4.0,0.875
1,1.2,1036,34,1,2,2618,4,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.7,4.0,0.925
1,1.2,1036,35,2,2,2618,5,30,1.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,1.0,2.0,3.2,4.0,0.8
1,1.2,1043,39,1,2,1772,3,33,1.0,1.0,6.0,0.0,1.0,1.0,5.0,5.0,5.0,2.0,3.2,4.0,0.8
1,1.2,1048,44,2,2,6995,3,33,1.0,1.0,2.0,0.0,5.0,0.0,0.0,5.0,2.0,2.0,3.65,4.0,0.9125
1,1.2,1048,48,1,2,6582,3,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,2.5,4.0,0.625
1,1.2,1051,49,2,2,6574,3,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,4.5,0.8888888888888888
1,1.2,1060,34,2,2,2636,4,33,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.4,4.0,0.85
1,1.2,1070,32,1,2,463,2,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,0.6
1,1.2,1072,33,1,2,6012,3,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,3.75,4.0,0.9375
1,1.2,1080,31,2,2,1185,3,30,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.7,4.0,0.925
1,1.2,1088,42,2,2,7187,4,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.8,4.2,0.9047619047619047
1,1.2,1089,33,2,2,3309,4,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.75
1,1.2,1097,32,2,2,140,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,2.0,3.4,4.0,0.85
1,1.2,1127,33,2,2,3553,2,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,2.0,4.0,4.0,1.0
1,1.2,1127,34,1,2,3553,3,30,1.0,5.0,0.0,5.0,1.0,5.0,0.0,0.0,1.0,2.0,3.0,4.0,0.75
1,1.2,1152,40,2,2,1528,3,30,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,2.0,2.0,3.4,4.0,0.85
1,1.2,1152,41,1,2,1389,3,30,1.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,1.0,2.0,3.35,4.0,0.8375
1,1.2,1152,42,2,2,1409,3,30,1.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,4.35,5.0,0.8699999999999999
1,1.2,1152,43,1,2,1636,3,30,1.0,1.0,3.0,0.0,1.0,1.0,5.0,0.0,2.0,2.0,3.0,5.0,0.6
1,1.2,1163,49,1,2,5718,4,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,2.0,4.0,4.0,1.0
