KIDS,KID19,ER30001,ER30002,ER32000,ER32006,ER34701,ER34702,ER34703,P19REL,P19E5,P19E6,P19E10_09,P19E15,P19E16_3,P19E26_5,P19E33_6,P19E53A,C19REL,C19B12,C19B13
1,1.1,301,54,2,2,7715,5,30,1,1,3,0,5,0,0,0,0,,,
1,1.1,301,56,1,2,7601,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,301,57,1,2,7715,6,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,302,39,1,2,6904,3,30,1,1,5,0,1,1,0,0,2,,,
1,1.1,302,40,1,2,6904,4,30,1,1,5,0,5,0,5,0,2,,,
1,1.1,303,32,2,2,664,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,308,38,1,2,8262,3,33,1,1,5,0,1,1,0,0,1,2,0,0
1,1.1,308,39,1,2,9138,2,30,1,5,0,0,5,0,0,0,3,,,
1,1.2,308,40,1,2,8619,3,30,1,5,0,0,5,0,0,0,1,2,0,0
1,1.2,308,41,1,2,8619,4,30,1,5,0,0,5,0,0,0,1,2,0,0
1,1.1,308,42,2,2,4786,3,30,1,1,5,0,1,1,5,0,2,,,
1,1.1,308,43,2,2,8619,5,30,1,5,0,0,5,0,0,0,1,,,
1,1.1,308,44,2,2,9138,3,30,1,0,0,0,0,0,0,0,1,,,
1,1.1,308,45,1,2,4786,4,30,1,0,0,0,0,0,0,0,2,,,
1,1.2,311,34,1,2,9447,2,30,1,1,2,0,5,0,0,0,1,2,3.5,4
1,1.2,311,35,2,2,9270,2,30,1,1,4,0,1,1,0,0,2,2,0,0
1,1.1,311,36,1,2,9270,3,30,1,1,3,0,1,1,0,0,3,,,
1,1.1,311,37,2,2,9447,3,30,1,1,5,0,1,5,0,0,2,,,
1,1.1,311,38,2,2,9270,4,30,1,0,0,0,0,0,0,0,2,,,
1,1.1,312,34,1,2,1113,2,30,1,5,0,0,5,0,0,0,0,,,
1,1.2,317,36,1,2,5897,3,30,1,1,1,0,5,0,5,5,1,2,3.12,4
1,1.2,317,37,2,2,7060,3,30,1,1,5,0,1,1,0,0,1,2,3.8,4
1,1.2,317,38,1,2,7060,4,30,1,1,5,0,1,1,1,0,1,2,0,0
1,1.2,317,39,1,2,5897,4,30,1,5,0,0,5,0,5,0,1,2,0,0
1,1.1,317,40,1,2,8303,3,30,1,1,5,0,1,5,5,0,1,,,
1,1.1,317,41,2,2,8631,3,30,1,1,5,5,1,1,0,0,2,,,
